osca_code,osca_occupation,anzsco_code,match_flag,anzsco_occupation
263132,Radiation Therapist,251212,,Medical Radiation Therapist
263133,Radiographer,251211,,Medical Diagnostic Radiographer
263231,Dietitian,251111,,Dietitian
263232,Nutritionist,251112,,Nutritionist
263331,Optometrist,251411,,Optometrist
263431,Community Pharmacist,251513,,Retail Pharmacist
263432,Hospital Pharmacist,251511,,Hospital Pharmacist
263531,Sonographer,251214,p,Sonographer
263931,Audiologist,252711,,Audiologist
263932,Cardiac Physiologist,251214,p,Sonographer
263932,Cardiac Physiologist,311212,,Cardiac Technician
263933,Diabetes Educator,251911,p,Health Promotion Officer
263934,Neurophysiology Scientist,234599,p,Life Scientists nec
263935,Orthoptist,251412,,Orthoptist
263936,Respiratory or Sleep Scientist,234612,,Respiratory Scientist
263999,Allied Health Science Professionals nec,251999,p,Health Diagnostic and Promotion Professionals nec
264131,Anaesthetist,253211,,Anaesthetist
264231,General Practitioner,253111,,General Practitioner
264331,General Medicine Physician,253311,,Specialist Physician (General Medicine)
264332,Cardiologist,253312,,Cardiologist
264333,Endocrinologist,253315,,Endocrinologist
264333,Endocrinologist,253321,p,Paediatrician
264334,Gastroenterologist,253316,,Gastroenterologist
264335,Geriatrician,253399,p,Specialist Physicians nec
264336,Haematologist,253313,,Clinical Haematologist
264336,Haematologist,253321,p,Paediatrician
264336,Haematologist,253915,p,Pathologist
264337,Intensive Care Specialist,253317,,Intensive Care Specialist
264337,Intensive Care Specialist,253321,p,Paediatrician
264338,Medical Oncologist,253314,,Medical Oncologist
264341,Nephrologist,253322,,Renal Medicine Specialist
264342,Neurologist,253318,,Neurologist
264343,Paediatrician,253321,p,Paediatrician
264344,Public Health Physician,253399,p,Specialist Physicians nec
264345,Respiratory Physician,253321,p,Paediatrician
264345,Respiratory Physician,253324,,Thoracic Medicine Specialist
264345,Respiratory Physician,253399,p,Specialist Physicians nec
264346,Rheumatologist,253323,,Rheumatologist
264399,Physicians nec,253399,p,Specialist Physicians nec
264431,Psychiatrist,253411,,Psychiatrist
264531,Resident Medical Officer,253112,,Resident Medical Officer
264631,General Surgeon,253511,,Surgeon (General)
264632,Cardiothoracic Surgeon,253512,,Cardiothoracic Surgeon
264633,Neurosurgeon,253513,,Neurosurgeon
264634,Orthopaedic Surgeon,253514,,Orthopaedic Surgeon
264635,Otolaryngologist,253515,,Otorhinolaryngologist
264636,Paediatric Surgeon,253516,,Paediatric Surgeon
264637,Plastic and Reconstructive Surgeon,253517,,Plastic and Reconstructive Surgeon
264638,Urologist,253518,,Urologist
264641,Vascular Surgeon,253521,,Vascular Surgeon
264931,Dermatologist,253911,,Dermatologist
264932,Emergency Medicine Specialist,253912,,Emergency Medicine Specialist
264933,Obstetrician and Gynaecologist,253913,,Obstetrician and Gynaecologist
264934,Ophthalmologist,253914,,Ophthalmologist
264935,Pathologist,253915,p,Pathologist
264936,Radiation Oncologist,253918,,Radiation Oncologist
264937,Radiologist,253917,,Diagnostic and Interventional Radiologist
264937,Radiologist,253999,p,Medical Practitioners nec
264999,Medical Practitioners nec,253999,p,Medical Practitioners nec
265131,Midwife,251911,p,Health Promotion Officer
265131,Midwife,254111,,Midwife
265231,Nurse Educator,254211,,Nurse Educator
265232,Nurse Researcher,254212,,Nurse Researcher
265331,Nursing / Midwifery Unit Manager,254311,p,Nurse Manager
265431,Nurse Practitioner,254411,,Nurse Practitioner
265432,Registered Nurse (Acute Care),254415,,Registered Nurse (Critical Care and Emergency)
265432,Registered Nurse (Acute Care),254417,p,Registered Nurse (Disability and Rehabilitation)
265432,Registered Nurse (Acute Care),254418,,Registered Nurse (Medical)
265432,Registered Nurse (Acute Care),254423,,Registered Nurse (Perioperative)
265432,Registered Nurse (Acute Care),254424,,Registered Nurse (Surgical)
265432,Registered Nurse (Acute Care),254425,,Registered Nurse (Paediatrics)
265432,Registered Nurse (Acute Care),254499,p,Registered Nurses nec
